Product Handle,Product Title,Product Description,Product Status,Product Thumbnail,Product Weight,Product Height,Product Width,Product Length,Product Discountable,Product Collection Id,Product Tag 1,Product Tag 2,Product Tag 3,Product Tag 4,Product Tag 5,Product Tag 6,Product Tag 7,Product Tag 8,Product Tag 9,Product Tag 10,Product Tag 11,Product Tag 12,Product Category Id 1,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Sales Channel Id 1,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Height,Variant Width,Variant Length,Variant Price BRL,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value
camiseta-tyer-five-stars,Camiseta Tyer Five Stars,"<p><strong>Camiseta Tyer Five Stars Only Amarela</strong> &ndash; para quem nasceu para ser um jogador 5 estrelas!</p> <p>Produzida com <em>100% algod&atilde;o</em>, esta camiseta oferece um conforto incompar&aacute;vel, ideal para o uso di&aacute;rio ou para aqueles momentos de lazer com os amigos. Sua modelagem sportwear garante um caimento perfeito, valorizando o corpo e proporcionando liberdade de movimento.</p> <p>A estampa exclusiva &ldquo;Five Stars Only&rdquo; &eacute; o destaque desta cole&ccedil;&atilde;o, feita especialmente para os verdadeiros craques que sabem o que &eacute; jogar com excel&ecirc;ncia. Uma pe&ccedil;a que une estilo e atitude para quem n&atilde;o aceita nada menos que a perfei&ccedil;&atilde;o.</p> <p>Leve, macia e cheia de personalidade, a Camiseta Tyer Five Stars Only Amarela &eacute; a escolha certa para mostrar sua paix&atilde;o pelo esporte com autenticidade.</p> <p>Garanta j&aacute; a sua e vista o que s&oacute; os melhores usam! Estoque limitado.</p>",published,https://api.homolog.tyershop.com/cdn/tyershop/camiseta-tyer-five-stars-amarela.webp,0,0.00,0.00,0.00,TRUE,pcol_01M1BKGAMS7VA1Y2ZQVM1S5AZN,,,,,,,,,,,,,,https://api.homolog.tyershop.com/cdn/tyershop/camiseta-tyer-five-stars-amarela.webp,https://api.homolog.tyershop.com/cdn/tyershop/camiseta-tyer-five-stars-preta.webp,,,sc_01M132H93X58ZBPEY4X8WWS6XV,Amarela / PP,camiseta-tyer-five-stars-amarela-pp,,FALSE,TRUE,0,0.00,0.00,0.00,149.90,Cor,Amarela,Tamanho,PP
camiseta-tyer-five-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amarela / P,camiseta-tyer-five-stars-amarela-p,,FALSE,TRUE,0,0.00,0.00,0.00,149.90,Cor,Amarela,Tamanho,P
camiseta-tyer-five-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amarela / M,camiseta-tyer-five-stars-amarela-m,,FALSE,TRUE,0,0.00,0.00,0.00,149.90,Cor,Amarela,Tamanho,M
camiseta-tyer-five-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amarela / G,camiseta-tyer-five-stars-amarela-g,,FALSE,TRUE,0,0.00,0.00,0.00,149.90,Cor,Amarela,Tamanho,G
camiseta-tyer-five-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amarela / GG,camiseta-tyer-five-stars-amarela-gg,,FALSE,TRUE,0,0.00,0.00,0.00,149.90,Cor,Amarela,Tamanho,GG
camiseta-tyer-five-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amarela / XG,camiseta-tyer-five-stars-amarela-xg,,FALSE,TRUE,0,0.00,0.00,0.00,149.90,Cor,Amarela,Tamanho,XG
camiseta-tyer-five-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preta / PP,camiseta-tyer-five-stars-preta-pp,,FALSE,TRUE,0,0.00,0.00,0.00,149.90,Cor,Preta,Tamanho,PP
camiseta-tyer-five-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preta / P,camiseta-tyer-five-stars-preta-p,,FALSE,TRUE,0,0.00,0.00,0.00,149.90,Cor,Preta,Tamanho,P
camiseta-tyer-five-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preta / M,camiseta-tyer-five-stars-preta-m,,FALSE,TRUE,0,0.00,0.00,0.00,149.90,Cor,Preta,Tamanho,M
camiseta-tyer-five-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preta / G,camiseta-tyer-five-stars-preta-g,,FALSE,TRUE,0,0.00,0.00,0.00,149.90,Cor,Preta,Tamanho,G
camiseta-tyer-five-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preta / GG,camiseta-tyer-five-stars-preta-gg,,FALSE,TRUE,0,0.00,0.00,0.00,149.90,Cor,Preta,Tamanho,GG
camiseta-tyer-five-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preta / XG,camiseta-tyer-five-stars-preta-xg,,FALSE,TRUE,0,0.00,0.00,0.00,149.90,Cor,Preta,Tamanho,XG
